Date,Open,High,Low,Close,Adj Close,Volume
6/22/2016,"4,850.00","4,920.00","4,830.00","4,920.00","4,224.42",27.50
6/23/2016,"4,920.00","4,920.00","4,860.00","4,890.00","4,198.66",13.12
6/24/2016,"4,890.00","4,900.00","4,690.00","4,890.00","4,198.66",21.17
6/27/2016,"4,840.00","4,870.00","4,790.00","4,840.00","4,155.73",17.15
6/28/2016,"4,840.00","4,950.00","4,840.00","4,950.00","4,250.18",44.68
6/29/2016,"4,980.00","5,200.00","4,980.00","5,200.00","4,464.83",96.65
6/30/2016,"5,250.00","5,275.00","5,125.00","5,200.00","4,464.83",44.91
7/1/2016,"5,225.00","5,225.00","5,100.00","5,150.00","4,421.90",9.47
7/11/2016,"5,250.00","5,350.00","5,250.00","5,300.00","4,550.69",41.02
7/12/2016,"5,325.00","5,450.00","5,300.00","5,425.00","4,658.02",44.64
7/13/2016,"5,400.00","5,475.00","5,350.00","5,400.00","4,636.55",16.18
7/14/2016,"5,450.00","5,450.00","5,300.00","5,300.00","4,550.69",19.32
7/15/2016,"5,375.00","5,450.00","5,350.00","5,450.00","4,679.49",24.53
7/18/2016,"5,400.00","5,475.00","5,350.00","5,475.00","4,700.95",11.57
7/19/2016,"5,500.00","5,675.00","5,450.00","5,600.00","4,808.28",33.77
7/20/2016,"5,600.00","5,700.00","5,575.00","5,650.00","4,851.21",23.69
7/21/2016,"5,675.00","5,675.00","5,525.00","5,575.00","4,786.81",16.93
7/22/2016,"5,500.00","5,500.00","5,300.00","5,300.00","4,550.69",41.48
7/25/2016,"5,350.00","5,375.00","5,125.00","5,175.00","4,443.37",49.90
7/26/2016,"5,175.00","5,325.00","5,150.00","5,225.00","4,486.30",46.67
7/27/2016,"5,300.00","5,450.00","5,275.00","5,375.00","4,615.09",71.19
7/28/2016,"5,425.00","5,450.00","5,300.00","5,400.00","4,636.55",25.05
7/29/2016,"5,425.00","5,450.00","5,275.00","5,350.00","4,593.62",29.66
8/1/2016,"5,400.00","5,575.00","5,400.00","5,525.00","4,743.88",48.96
8/2/2016,"5,525.00","5,550.00","5,475.00","5,475.00","4,700.95",22.92
